run_name,use_bid_ask,test_method,method,pair,date,n_rows,n_maturities,call_pairs_tested,call_violations,call_violation_rate,put_pairs_tested,put_violations,put_violation_rate
rounded_mid,false,rounded,original,NZDUSD,2016-11-07,140,14,338,0,0.0,338,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-11-08,140,14,340,0,0.0,340,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-11-09,140,14,352,0,0.0,352,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-11-10,140,14,354,0,0.0,354,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-11-11,140,14,328,0,0.0,328,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-11-14,140,14,320,0,0.0,320,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-11-15,140,14,325,0,0.0,325,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-11-16,140,14,324,0,0.0,324,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-11-17,140,14,323,0,0.0,323,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-11-18,140,14,326,0,0.0,326,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-11-21,140,14,319,0,0.0,319,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-11-22,140,14,317,0,0.0,317,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-11-23,140,14,324,0,0.0,324,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-11-24,140,14,308,0,0.0,308,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-11-25,140,14,313,0,0.0,313,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-11-28,139,14,323,0,0.0,323,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-11-29,140,14,321,0,0.0,321,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-11-30,139,14,319,0,0.0,319,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-12-01,139,14,328,0,0.0,328,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-12-02,140,14,323,0,0.0,323,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-12-05,140,14,326,0,0.0,326,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-12-06,140,14,320,0,0.0,320,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-12-07,140,14,323,0,0.0,323,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-12-08,139,14,332,0,0.0,332,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-12-09,140,14,332,0,0.0,332,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-12-12,139,14,332,0,0.0,332,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-12-13,139,14,332,0,0.0,332,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-12-14,139,14,337,0,0.0,337,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-12-15,139,14,323,0,0.0,323,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-12-16,140,14,331,0,0.0,331,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-12-19,140,14,322,0,0.0,322,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-12-20,140,14,322,0,0.0,322,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-12-21,140,14,313,0,0.0,313,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-12-22,140,14,309,0,0.0,309,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-12-23,140,14,303,0,0.0,303,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-12-26,140,14,310,0,0.0,310,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-12-27,140,14,305,0,0.0,305,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-12-28,140,14,303,0,0.0,303,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-12-29,140,14,319,0,0.0,319,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-12-30,140,14,323,0,0.0,323,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2017-01-02,140,14,322,0,0.0,322,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2017-01-03,140,14,323,0,0.0,323,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2017-01-04,140,14,314,0,0.0,314,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2017-01-05,140,14,322,0,0.0,322,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2017-01-06,140,14,326,0,0.0,326,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2017-01-09,140,14,322,0,0.0,322,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2017-01-10,140,14,322,0,0.0,322,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2017-01-11,140,14,327,0,0.0,327,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2017-01-12,140,14,331,0,0.0,331,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2017-01-13,140,14,326,0,0.0,326,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2017-01-16,140,14,327,0,0.0,327,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2017-01-17,140,14,326,0,0.0,326,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2017-01-18,140,14,332,0,0.0,332,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2017-01-19,140,14,334,0,0.0,334,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2017-01-20,140,14,334,0,0.0,334,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2017-01-23,140,14,329,0,0.0,329,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2017-01-24,140,14,334,0,0.0,334,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2017-01-25,140,14,330,0,0.0,330,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2017-01-26,140,14,333,0,0.0,333,0,0.0
