date,call_pairs_tested,call_violations,call_violation_rate,put_pairs_tested,put_violations,put_violation_rate,year,call_rate_30d,put_rate_30d
2000-09-25,210,8,0.0380952380952381,124,0,0.0,2000,0.0014047940363729838,0.0014626630832499266
2000-09-26,231,4,0.017316017316017316,284,0,0.0,2000,0.001981994613573561,0.0006496549531686257
2000-09-27,217,0,0.0,161,0,0.0,2000,0.001981994613573561,0.0006496549531686257
2000-09-28,225,0,0.0,220,0,0.0,2000,0.001981994613573561,0.0005326958888411403
2000-09-29,54,0,0.0,56,0,0.0,2000,0.001981994613573561,0.0005326958888411403
2000-10-02,211,1,0.004739336492890996,177,0,0.0,2000,0.0021399724966699274,0.0005326958888411403
2000-10-03,204,3,0.014705882352941176,236,0,0.0,2000,0.0026301685751013004,0.0005326958888411403
2000-10-04,139,0,0.0,319,0,0.0,2000,0.0026301685751013004,0.0005326958888411403
2000-10-05,160,0,0.0,159,0,0.0,2000,0.0026301685751013004,0.0005326958888411403
2000-10-06,213,0,0.0,381,3,0.007874015748031496,2000,0.0026301685751013004,0.0007951630804421901
2000-10-09,166,5,0.030120481927710843,270,0,0.0,2000,0.003634184639358328,0.0007951630804421901
2000-10-10,204,4,0.0196078431372549,624,0,0.0,2000,0.004287779410600158,0.0007951630804421901
2000-10-11,319,1,0.003134796238244514,419,0,0.0,2000,0.0043922726185416415,0.0007951630804421901
2000-10-12,631,59,0.09350237717908082,674,0,0.0,2000,0.007509018524511002,0.0007951630804421901
2000-10-13,499,0,0.0,773,0,0.0,2000,0.007509018524511002,0.0007951630804421901
2000-10-16,370,0,0.0,297,0,0.0,2000,0.007509018524511002,0.0007951630804421901
2000-10-17,332,11,0.03313253012048193,684,7,0.01023391812865497,2000,0.008613436195193733,0.0007638542061459591
2000-10-18,207,1,0.004830917874396135,1035,7,0.00676328502415459,2000,0.008774466791006937,0.0009892970402844454
2000-10-19,162,0,0.0,314,0,0.0,2000,0.008774466791006937,0.0009892970402844454
2000-10-20,144,0,0.0,352,0,0.0,2000,0.008774466791006937,0.0009892970402844454
2000-10-23,191,0,0.0,247,5,0.020242914979757085,2000,0.008774466791006937,0.001664060872943015
2000-10-24,205,0,0.0,301,3,0.009966777408637873,2000,0.008774466791006937,0.0019962867865642776
